id, name, price, link
product-23029712, BOSS ñ Titanium Runn ñ Leichte Sneaker mit goldenem Logo in Schwarz, 199.00 Ä, https://www.asos.com/de/boss/boss-titanium-runn-leichte-sneaker-mit-goldenem-logo-in-schwarz/prd/23029712?clr=schwarz&colourwayid=60445178&cid=5775
product-22990605, Emporio Armani ñ Sneaker aus Leder in Schwarz mit gummiertem Logoprint in Kontrastfarbe, 190.00 Ä, https://www.asos.com/de/emporio-armani/emporio-armani-sneaker-aus-leder-in-schwarz-mit-gummiertem-logoprint-in-kontrastfarbe/prd/22990605?clr=schwarz&colourwayid=60442345&cid=5775
product-20512039, adidas ñ Running Ultraboost 20 ñ Sneaker in Grau, 190.00 Ä, https://www.asos.com/de/adidas-performance/adidas-running-ultraboost-20-sneaker-in-grau/prd/20512039?clr=grau&colourwayid=60059985&cid=5775
product-21934555, New Balance ñ 530 Sneaker in Weiﬂ/Rot, 100.00 Ä, https://www.asos.com/de/new-balance/new-balance-530-sneaker-in-wei-rot/prd/21934555?clr=wei&colourwayid=60310502&cid=5775
product-23576695, Vans ñ Style 36 ñ Sneaker mit Bandana-Muster in Schwarz/Weiﬂ, 80.00 Ä, https://www.asos.com/de/vans/vans-style-36-sneaker-mit-bandana-muster-in-schwarz-wei/prd/23576695?clr=wei&colourwayid=60495020&cid=5775
product-22201324, Reebok Classics ñ CL Legacy ñ Sneaker in Hellblau, 89.95 Ä, https://www.asos.com/de/reebok/reebok-classics-cl-legacy-sneaker-in-hellblau/prd/22201324?clr=blau&colourwayid=60381015&cid=5775
product-21293779, Nike Running ñ Pegasus Trail 2 ñ Goretex-Sneaker in Grau, 149.99 Ä, https://www.asos.com/de/nike-running/nike-running-pegasus-trail-2-goretex-sneaker-in-grau/prd/21293779?clr=grau&colourwayid=60154354&cid=5775
product-21212592, adidas Originals ñ Forum 84 Low ñ Sneaker in gebrochenem Weiﬂ, 109.95 Ä, https://www.asos.com/de/adidas-originals/adidas-originals-forum-84-low-sneaker-in-gebrochenem-wei/prd/21212592?clr=wei&colourwayid=60148351&cid=5775
product-21397437, Nike ñ Dbreak-Type Regrind ñ Sneaker in Photonenstaub, 99.99 Ä, https://www.asos.com/de/nike/nike-dbreak-type-regrind-sneaker-in-photonenstaub/prd/21397437?clr=grau&colourwayid=60163792&cid=5775
product-23555593, Jack & Jones ñ Schwarze Sneaker aus Kunstleder mit Kontrastsohle, 54.99 Ä, https://www.asos.com/de/jack-jones/jack-jones-schwarze-sneaker-aus-kunstleder-mit-kontrastsohle/prd/23555593?clr=anthracite&colourwayid=60493429&cid=5775
